"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 21 13:17:52 CST 2023","Tue Mar 21 13:18:41 CST 2023","49639","TestCases","test_mbti","TestMbti","","","用户033__ENTJ",""
"passed","Tue Mar 21 13:17:55 CST 2023","Tue Mar 21 13:18:41 CST 2023","46191","TestCases","test_mbti","TestMbti","","","用户161__INTJ",""
